,Isle of Dogs,The Grand Budapest Hotel,Moonrise Kingdom,Fantastic Mr. Fox,The Darjeeling Limited,The Life Aquatic with Steve Zissou,The Royal Tenenbaums,Rushmore,Bottle Rocket
0,Bryan Cranston,Ralph Fiennes,Bruce Willis,George Clooney,Owen Wilson,Bill Murray,Gene Hackman,Jason Schwartzman,Luke Wilson
1,Koyu Rankin,F. Murray Abraham,Edward Norton,Meryl Streep,Adrien Brody,Owen Wilson,Anjelica Huston,Bill Murray,Owen Wilson
2,Edward Norton,Mathieu Amalric,Bill Murray,Jason Schwartzman,Jason Schwartzman,Cate Blanchett,Ben Stiller,Olivia Williams,Ned Dowd
3,Bob Balaban,Adrien Brody,Frances McDormand,Bill Murray,Amara Karan,Anjelica Huston,Gwyneth Paltrow,Seymour Cassel,Shea Fowler
4,Jeff Goldblum,Willem Dafoe,Tilda Swinton,Wallace Wolodarsky,Wallace Wolodarsky,Willem Dafoe,Luke Wilson,Brian Cox,Haley Miller
5,Bill Murray,Jeff Goldblum,Jared Gilman,Eric Chase Anderson,Waris Ahluwalia,Jeff Goldblum,Owen Wilson,Mason Gamble,Robert Musgrave
6,Kunichi Nomura,Harvey Keitel,Kara Hayward,Michael Gambon,Irrfan Khan,Michael Gambon,Bill Murray,Sara Tanaka,Andrew Wilson
7,Akira Takayama,Jude Law,Jason Schwartzman,Willem Dafoe,Barbet Schroeder,Noah Taylor,Danny Glover,Stephen McCole,Brian Tenenbaum
8,Greta Gerwig,Bill Murray,Bob Balaban,Owen Wilson,Camilla Rutherford,Bud Cort,Seymour Cassel,Connie Nielsen,Jenni Tooley
9,Frances McDormand,Edward Norton,Lucas Hedges,Jarvis Cocker,Bill Murray,Seu Jorge,Kumar Pallana,Luke Wilson,Temple Nash
10,Akira Ito,Saoirse Ronan,Charlie Kilgore,Wes Anderson,Anjelica Huston,Robyn Cohen,Alec Baldwin,Dipak Pallana,Dipak Pallana
11,Scarlett Johansson,Jason Schwartzman,Andreas Sheikh,Karen Duffy,A.P. Singh,Waris Ahluwalia,Grant Rosenmeyer,Andrew Wilson,Darryl Cox
12,Harvey Keitel,Léa Seydoux,Chandler Frantz,Robin Hurlstone,Kumar Pallana,Niels Koizumi,Jonah Meyerson,Marietta Marich,Stephen Dignan
13,F. Murray Abraham,Tilda Swinton,Rob H. Campbell,Hugo Guinness,Dalpat Singh,Pawel Wdowczak,Aram Aslanian-Persico,Ronnie McCawley,Lumi Cavazos
14,Yoko Ono,Tom Wilkinson,L.J. Foley,Helen McCrory,Trudy Matthys,Matthew Gray Gubler,Irina Gorovaia,Keith McCawley,Julie Mayfield
